Designator,Mid X,Mid Y,Rotation,Layer
C1,155.24776695296637,-121.65023304703364,45.0,top
C10,161.4,-96.7,270.0,bottom
C11,138.5964,-92.74,270.0,bottom
C12,142.0164,-91.62,180.0,bottom
C13,152.58,-95.09,225.0,bottom
C14,139.1564,-85.9325,90.0,bottom
C15,146.3175,-83.08,0.0,bottom
C16,142.4175,-79.2,180.0,bottom
C17,142.3725,-83.63,180.0,bottom
C19,141.5742,-110.3122,0.0,top
C2,161.1122,-90.6526,90.0,top
C20,141.205,-103.193,0.0,top
C21,162.8375,-93.65,0.0,bottom
C3,160.4718,-81.8896,180.0,top
C4,160.3875,-84.0,0.0,bottom
C5,163.6522,-102.3112,90.0,top
C7,158.35,-90.95,270.0,bottom
C8,142.0164,-89.43,0.0,bottom
C9,166.22,-90.9475,90.0,bottom
D1,166.65,-82.35,270.0,bottom
F1,144.75,-122.75,150.0,top
J1,163.25,-123.0,0.0,top
J2,154.0898,-95.522,0.0,top
J3,163.25,-117.75,0.0,top
J6,141.015,-83.773,0.0,top
L1,166.7256,-83.6676,90.0,top
L3,158.270028,-95.7,270.0,bottom
L4,141.41,-81.4,0.0,bottom
L6,138.2632,-89.34,0.0,bottom
PS1,148.28,-104.168,90.0,top
R3,145.6164,-86.73,270.0,bottom
R4,149.865,-80.28,270.0,bottom
R5,165.04,-87.82,0.0,bottom
R6,161.15,-87.8,0.0,bottom
R7,152.0,-108.1,90.0,bottom
TH2,141.91569180750597,-116.37094585166834,145.0,top
U1,142.019999,-86.621602,0.0,bottom
U2,146.270001,-80.240003,0.0,bottom
U3,162.8555,-90.935,0.0,bottom
