Designator,Mid X,Mid Y,Rotation,Layer
C1,155.675,-84.57,270.0,bottom
C2,146.7104,-83.14,270.0,top
C3,149.025,-90.725,270.0,bottom
C4,156.9,-98.0,270.0,bottom
C5,163.3,-97.5,270.0,bottom
C6,153.975,-90.725,90.0,bottom
D1,160.02,-92.7325,270.0,bottom
D2,157.84,-85.33,90.0,bottom
D3,156.51,-90.16,90.0,bottom
D4,160.0,-95.4,0.0,bottom
J1,167.0511,-88.05,270.0,bottom
J3,145.35,-97.28,0.0,top
R1,159.68,-85.37,90.0,bottom
R2,158.3,-90.8075,270.0,bottom
R3,150.675,-90.725,90.0,bottom
R4,155.26,-93.53,180.0,bottom
R5,152.325,-90.725,90.0,bottom
R6,146.690188,-89.860437,270.0,top
R7,146.695094,-86.5,90.0,top
SW1,150.7375,-94.125,180.0,bottom
SW3,150.7,-97.3,0.0,bottom
U1,159.9,-98.05,180.0,bottom
U2,154.3304,-86.9,0.0,top
