Designator,Mid X,Mid Y,Rotation,Layer
D1,139.642331,-73.182476,300.0,top
D10,160.417343,-82.393399,220.0,top
D11,163.1,-92.085083,180.0,top
D12,158.925341,-101.233722,140.0,top
D13,150.337583,-105.927846,100.0,top
D14,140.112162,-103.035974,60.0,top
D2,153.923597,-72.5704,265.0,top
D3,164.388787,-79.174869,220.0,top
D4,168.211134,-92.17234,180.0,top
D5,162.784609,-104.585938,140.0,top
D6,153.061503,-109.633179,100.0,top
D7,137.481028,-107.418717,60.0,top
D8,142.122331,-77.652476,300.0,top
D9,152.132615,-76.693518,260.0,top
J1,138.51996,-88.746,180.0,top
JP1,134.104631,-83.761111,0.0,top
JP2,137.381831,-98.645511,180.0,top
U1,142.309431,-95.165711,0.0,top
